names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
SCGB3A1,57.43575,3.4517095,0.0,0.0,0.37335789810958026,0.05244384459654873
IGKC,56.791183,1.2328974,0.0,0.0,0.9086030118551747,0.5805135126450078
SLC40A1,49.31094,2.0236902,0.0,0.0,0.4117270105735341,0.16260162601626016
SCGB2A1,49.134323,2.3023968,0.0,0.0,0.3780839474527395,0.10220444101674218
TFF3,44.836285,1.536353,0.0,0.0,0.4607497596924063,0.21303705131912978
C2orf88,44.691395,2.7052064,0.0,0.0,0.31632489586670937,0.07363668498345062
AGR2,44.459206,1.5638798,0.0,0.0,0.44480935597564886,0.21032166843407565
TM4SF4,43.704227,9.666356,0.0,0.0,0.24791733418776032,0.0005944921109290144
LYPD2,40.549984,4.8513327,0.0,0.0,0.24022749118872155,0.010941868311963752
MUC5B,40.361588,1.3434554,0.0,0.0,0.46211150272348606,0.22741733346187218
TSPAN8,39.81564,4.9820747,0.0,0.0,0.23534123678308236,0.01139175423374787
SLPI,38.067062,0.8538955,0.0,0.0,0.719000320410125,0.5137857900318133
WFDC2,38.019203,0.9155316,0.0,0.0,0.637375841076578,0.44593335261415856
MIF,37.780178,0.70599854,0.0,0.0,0.6784684396026914,0.5433497220347697
MT-ATP8,37.66511,0.87406343,1.8513092244037e-310,4.414530996009932e-308,0.6146267222044216,0.4395546129374337
CRIP1,37.4007,0.8741117,3.8061648281157576e-306,8.735624051129178e-304,0.6388176866388978,0.46105273305697486
CA9,36.79104,4.7559814,2.568000074892506e-296,5.6808493223013616e-294,0.2212431912848446,0.015504996947202674
LUC7L3,36.43568,0.7934548,1.1597357318579643e-290,2.5051656203110685e-288,0.650272348606216,0.492576882290562
DDX17,36.221622,0.62695116,2.780705469914112e-287,5.936806178266629e-285,0.818407561678949,0.6809505446833124
SYT8,35.936733,3.8626678,8.157355703261804e-283,1.7215771042251722e-280,0.2245273950656841,0.023699347665413414
GABRP,35.61126,2.9554548,9.379199793114531e-278,1.9569487204701805e-275,0.24046779878244154,0.04233747871075549
LGALS4,35.268753,6.155653,1.7700821639390064e-272,3.5714811661630875e-270,0.20426145466196732,0.005318294289662264
AGR3,35.106644,2.6968105,5.337618162876963e-270,1.0538065278342356e-267,0.24607497596924063,0.052106430155210645
EPCAM,34.658222,1.4483688,3.358834140218278e-263,6.357892128716267e-261,0.34644344761294454,0.17384877406086313
SMIM22,34.374153,1.5408155,6.137680734162748e-259,1.138322787474366e-256,0.3242550464594681,0.14168193065329862
MSLN,34.317238,1.9299873,4.341818607591591e-258,7.972013145398921e-256,0.281400192246075,0.09140717889392333
CFTR,34.115765,2.383622,4.306332456281617e-255,7.828571309879878e-253,0.25056071771867994,0.06057392589736174
ASRGL1,34.11072,1.7451897,5.1151802891494315e-255,9.207826008732619e-253,0.3017462351810317,0.11721134997911244
AKR7A3,34.017086,4.9259076,1.2453500300663209e-253,2.2199875633056036e-251,0.2037808394745274,0.013480510299174138
MT-ND4L,33.740856,0.5378254,1.4559034291533345e-249,2.4983030712789134e-247,0.8518904197372636,0.7355956168257335
PPDPF,33.724056,0.5743029,2.5671919052450867e-249,4.3244229882756916e-247,0.7146747837231656,0.6028310678363701
CRISP3,33.598778,3.9505274,1.7479702555149583e-247,2.891394762298212e-245,0.20730535084908683,0.01828464924965455
