Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Protein Localization To Nucleus (GO:1900180),1/52,0.7469905999649232,0.805456715063467,0,0,0.7325791855203619,0.2136953100021528,FERMT2
GO_Biological_Process_2023,Cell Cycle G1/S Phase Transition (GO:0044843),1/52,0.7469905999649232,0.805456715063467,0,0,0.7325791855203619,0.2136953100021528,CCND1
GO_Biological_Process_2023,Cellular Response To Ionizing Radiation (GO:0071479),1/52,0.7469905999649232,0.805456715063467,0,0,0.7325791855203619,0.2136953100021528,CRYAB
GO_Biological_Process_2023,Fatty Acid Oxidation (GO:0019395),1/52,0.7469905999649232,0.805456715063467,0,0,0.7325791855203619,0.2136953100021528,PPARGC1A
GO_Biological_Process_2023,Neurotransmitter Transport (GO:0006836),1/52,0.7469905999649232,0.805456715063467,0,0,0.7325791855203619,0.2136953100021528,NRXN2
GO_Biological_Process_2023,Positive Regulation Of B Cell Activation (GO:0050871),1/52,0.7469905999649232,0.805456715063467,0,0,0.7325791855203619,0.2136953100021528,IL6
GO_Biological_Process_2023,Regulation Of Programmed Cell Death (GO:0043067),4/195,0.7510920340153253,0.8095064627997661,0,0,0.781309811943654,0.223632030817253,GAS1;SEPTIN4;CRYAB;CLU
GO_Biological_Process_2023,Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),1/53,0.7535986372489463,0.8110882391714301,0,0,0.7184541420118343,0.2032473460526971,ECSCR
GO_Biological_Process_2023,Gonad Development (GO:0008406),1/53,0.7535986372489463,0.8110882391714301,0,0,0.7184541420118343,0.2032473460526971,SALL1
GO_Biological_Process_2023,Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224),1/53,0.7535986372489463,0.8110882391714301,0,0,0.7184541420118343,0.2032473460526971,PTP4A3
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),29/1243,0.7583227026019974,0.8157977811179964,0,0,0.8868167450208275,0.2453345313017306,ACVRL1;CSF3;DLX5;RASL11A;TWIST1;RORB;GATA2;FGF2;DLL1;FGF7;SALL1;SOX17;SOX18;ATOH8;PPARGC1A;PRRX1;FZD4;FZD7;ZBTB16;SERPINF2;TBX3;BMP6;DCN;SFRP1;IL6;SFRP2;HAND2;CDH13;ERG
GO_Biological_Process_2023,ERBB Signaling Pathway (GO:0038127),1/54,0.7600344088252877,0.8161396540434772,0,0,0.7048621190130624,0.1934082248485952,NRG1
GO_Biological_Process_2023,Epidermal Cell Differentiation (GO:0009913),1/54,0.7600344088252877,0.8161396540434772,0,0,0.7048621190130624,0.1934082248485952,S100A7
GO_Biological_Process_2023,Mesenchymal Cell Differentiation (GO:0048762),1/54,0.7600344088252877,0.8161396540434772,0,0,0.7048621190130624,0.1934082248485952,LOXL2
GO_Biological_Process_2023,Monoatomic Anion Transmembrane Transport (GO:0098656),1/54,0.7600344088252877,0.8161396540434772,0,0,0.7048621190130624,0.1934082248485952,SLC5A5
GO_Biological_Process_2023,Negative Regulation Of MAPK Cascade (GO:0043409),2/105,0.7625189802264677,0.8184323793264836,0,0,0.7249190938511327,0.1965457761522968,CAV1;TIMP3
GO_Biological_Process_2023,"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",1/55,0.7663023969831744,0.821363942212629,0,0,0.6917735042735043,0.1841351735332636,SHANK3
GO_Biological_Process_2023,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),1/55,0.7663023969831744,0.821363942212629,0,0,0.6917735042735043,0.1841351735332636,IL6
GO_Biological_Process_2023,Purine Ribonucleotide Biosynthetic Process (GO:0009152),1/55,0.7663023969831744,0.821363942212629,0,0,0.6917735042735043,0.1841351735332636,ADCY2
GO_Biological_Process_2023,Positive Regulation Of Autophagy (GO:0010508),2/107,0.7716092020235203,0.8263942979341775,0,0,0.7110377098816405,0.1843557755870609,KDR;DCN
GO_Biological_Process_2023,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),1/56,0.7724069676250702,0.8263942979341775,0,0,0.6791608391608391,0.1753890132440393,CCND1
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription Initiation (GO:2000144),1/56,0.7724069676250702,0.8263942979341775,0,0,0.6791608391608391,0.1753890132440393,TWIST1
