Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662),6/37,0.0012743702594428,0.0167232133591426,0,0,5.669587351314308,37.78951835565963,IL10;TNFAIP3;HMOX1;PPARG;APOE;TRIB1
GO_Biological_Process_2023,Positive Regulation Of Multicellular Organismal Process (GO:0051240),25/387,0.0012806263588554,0.0167292683168133,0,0,2.0473282113259668,13.636037057405913,ACHE;TREM2;ADRB1;TNFRSF11A;GHR;CYP27B1;SIX4;GCNT2;SPP1;FFAR4;APOE;CD36;PPARGC1B;CMKLR1;IL10;SYK;NFAM1;FST;CRTAM;LILRB2;DCSTAMP;IL1A;APOC2;PPARG;EZH2
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),8/65,0.0013596384119723,0.0176021349567901,0,0,4.118240807498197,27.18259871681653,CCL13;CXCL10;CXCL9;CXCL11;CXCL8;RNASE7;CXCL13;CAMP
GO_Biological_Process_2023,Positive Regulation Of T Cell Proliferation (GO:0042102),8/65,0.0013596384119723,0.0176021349567901,0,0,4.118240807498197,27.18259871681653,CD86;CD274;SYK;CD209;CD80;TNFSF4;PDCD1LG2;LILRB2
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),39/705,0.0013818210241932,0.0178094522180617,0,0,1.746373370175287,11.498738855950762,HRK;FOXA1;SRC;HTRA4;KIF14;IFI6;NLRC4;IFIT3;IFIT2;BCL2L11;SIX4;ADAMTSL4;UBD;CLEC5A;FFAR4;CTLA4;ECT2;IL10;EGLN3;STIL;EGLN2;EGR3;STAT1;STYK1;PLAUR;LILRB1;MMP9;MLLT11;CXCL10;RNF144B;PAX7;CEACAM5;KCNMA1;NEURL1;IRF5;ANGPTL4;ATF5;CARD14;MCM2
GO_Biological_Process_2023,Regulation Of Cytokine Production (GO:0001817),14/167,0.0014117706293036,0.0180489819072914,0,0,2.69618384988404,17.69481355970904,IL10;NFAM1;CRTAM;ISG15;TREM2;CLEC4A;IFIH1;IL1A;GPNMB;FFAR4;IRF8;LGALS9;FCGR2B;HLA-DRB1
GO_Biological_Process_2023,Receptor Internalization (GO:0031623),7/51,0.0014129095639237,0.0180489819072914,0,0,4.6641682785299805,30.606758157757707,CEACAM1;CXCL8;SYK;ADM;LILRB1;CD36;LILRB4
GO_Biological_Process_2023,Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),13/149,0.0014397134550774,0.0183103645145759,0,0,2.81472167087694,18.41759976278911,CDKN2A;NLRC5;TNFAIP3;TBX6;TMIGD3;AIM2;IRAK2;ADORA3;TNFSF4;E2F2;TRIB1;CMKLR1;HAVCR2
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),27/434,0.001449846021406,0.018358357297365,0,0,1.968128287877504,12.864272834981028,CSF1R;SEMA7A;MCTP1;SRC;KIF14;CLDN1;CORO1C;DUSP10;GPNMB;CCL7;CLEC7A;PLAU;ADORA3;GCNT2;CCL3;HAS2;EPHB2;ARSB;CCR1;SEMA4A;EDN1;TMIGD3;CEACAM1;CEACAM6;EPPK1;HBEGF;EPHA2
GO_Biological_Process_2023,Response To Peptide (GO:1901652),6/38,0.0014713785482829,0.0184970774157696,0,0,5.492128224582701,35.81721919280637,MMP12;MMP13;STAT1;IRF5;NOD2;MMP9
